126,-1	0.11111715216618744	98.01	98.99
127,-1	0.1579416633368671	98.01	98.99
128,-1	0.14456120039554834	98.01	98.99
129,-1	0.17872767107652723	98.0	98.5
130,-1	0.22434026441156907	97.26	98.0
131,-1	0.18563912237698207	97.0	98.0
132,-1	0.25210178405393785	97.02	97.5
133,-1	0.23508849760733505	97.0	97.5
134,-1	0.2537830053702279	97.0	97.5
135,-1	0.27717502561570373	96.7	96.8
136,-1	0.255364906206032	96.82	97.5
137,-1	0.24901339580501325	97.09	97.5
138,-1	0.23510855511617298	96.83	97.5
139,-1	0.22190267463274688	96.83	97.08
140,-1	0.22198546805963265	97.17	97.5
141,-1	0.18822210620343352	97.61	98.5
142,-1	0.1281151686184411	98.5	98.95
143,-1	0.15545999886081652	97.5	98.89
144,-1	0.19023663719126915	98.0	98.4
145,-1	0.1909654771570548	98.0	98.4
146,-1	0.16385882158182682	98.01	98.43
147,-1	0.16394936822546055	98.0	98.43
148,-1	0.18843525367712838	98.0	98.43
149,-1	0.16436017839197212	98.0	98.43
150,-1	0.16583998205988157	98.02	98.43
151,-1	0.19246463479343975	98.0	98.5
152,-1	0.16497026516177069	98.0	98.5
153,-1	0.19290558771448654	97.5	98.5
154,-1	0.19327999439522622	97.53	98.4
155,-1	0.2120767686122543	97.5	98.0
156,-1	0.25818853826360516	97.18	97.7
157,-1	0.2518801062457621	97.0	97.7
158,-1	0.2998754900470464	95.8	97.0
159,-1	0.2805767361954707	96.22	96.8
160,-1	0.26786183129701036	96.0	97.0
161,-1	0.28948653696722176	96.3	97.0
162,-1	0.2683722003938559	96.3	97.0
163,-1	0.26928021264735913	96.3	97.0
164,-1	0.26967077022164043	96.31	97.0
165,-1	0.27040963801855583	96.3	97.0
166,-1	0.2702949899535682	96.61	97.0
167,-1	0.22138790876842504	97.0	97.94
168,-1	0.21164657181389607	97.01	98.0
169,-1	0.20061935404570294	97.01	98.0
170,-1	0.20087348929838694	97.01	98.0
171,-1	0.20095741793638033	97.01	98.0
172,-1	0.2011216119931281	97.31	98.0
173,-1	0.20120608721062144	97.54	98.0
174,-1	0.2082794108745785	97.54	97.9
175,-1	0.20905821244624834	97.54	97.9
176,-1	0.23674259829340735	97.0	97.5
177,-1	0.26174349891667975	97.11	97.44
178,-1	0.24133590043330255	97.11	97.44
179,-1	0.24133590043330255	97.11	97.44
180,-1	0.24423515604387958	97.11	97.44
181,-1	0.24234179562386943	97.11	97.44
182,-1	0.27487583220550155	97.01	97.44
183,-1	0.2504754199668347	97.0	97.35
184,-1	0.27493936708001143	97.01	97.4
185,-1	0.27493936708001143	97.07	97.4
186,-1	0.27656864545217785	97.0	97.4
187,-1	0.2645282761210474	97.17	97.4
188,-1	0.2602981671915476	97.23	97.4
189,-1	0.2604345593161214	97.23	97.4
190,-1	0.2642366988342998	97.17	97.4
191,-1	0.2487646280510922	97.17	97.4
192,-1	0.2489034187050063	97.17	97.44
193,-1	0.24646307848201882	97.17	97.44
194,-1	0.24667266797914714	97.17	97.44
195,-1	0.24680871543093466	97.23	97.44
196,-1	0.24758537207657882	97.17	97.44
197,-1	0.26641050457317433	97.17	97.44
198,-1	0.26654249021769116	97.17	97.44
199,-1	0.2822396931091102	97.0	97.35
200,-1	0.26803755924039596	97.0	97.44
201,-1	0.2824802943116231	97.0	97.38
202,-1	0.2848858280973314	97.0	97.39
203,-1	0.2869495125801682	97.0	97.23
204,-1	0.28736136320741873	97.0	97.38
205,-1	0.2668745939562507	97.0	97.39
206,-1	0.2895946681193302	97.0	97.15
207,-1	0.27927831337143894	97.04	97.2
208,-1	0.2907314708125469	97.0	97.2
209,-1	0.2910745737320082	97.0	97.2
210,-1	0.290943204025373	97.0	97.16
211,-1	0.29183336902924567	97.0	97.2
212,-1	0.2863402174792683	97.0	97.2
213,-1	0.2784294603545912	97.01	97.2
214,-1	0.2735632658528739	97.2	97.29
215,-1	0.2948793591934233	97.0	97.28
216,-1	0.29544023189814234	97.0	97.29
217,-1	0.29692202895116826	97.0	97.29
218,-1	0.29265822759615934	97.0	97.29
219,-1	0.27637842984828365	97.03	97.29
220,-1	0.2949863901215127	97.03	97.29
221,-1	0.27686920594951914	97.0	97.29
222,-1	0.2784946800213235	97.0	97.29
223,-1	0.2916407966737672	97.0	97.29
224,-1	0.27760877486844737	97.03	97.29
225,-1	0.2662033615743896	97.08	97.79
226,-1	0.2472973342937941	97.2	97.88
227,-1	0.2662720222070318	97.2	97.45
228,-1	0.3025409565368822	97.12	97.4
229,-1	0.30488734296256953	97.0	97.1
230,-1	0.3055749598270719	97.0	97.1
231,-1	0.3057991471503536	97.0	97.1
232,-1	0.30683295334902366	97.0	97.1
233,-1	0.3148195838352657	97.0	97.1
234,-1	0.2981678313633182	97.31	97.45
235,-1	0.29855270940885065	97.07	97.3
236,-1	0.3154348620852458	97.0	97.1
237,-1	0.33355659535076737	96.1	97.28
238,-1	0.37973037389604497	96.22	96.48
239,-1	0.4557757237800691	95.02	96.98
240,0.0	0.3549205839988733	96.24	96.8
241,0.000641025641025641	0.33129725301864316	96.62	98.45
242,0.001282051282051282	0.27422384480594425	97.8	98.5
243,0.0019230769230769232	0.2260320825618861	97.8	98.99
244,0.002564102564102564	0.2729815358982848	97.8	98.5
245,0.003205128205128205	0.3006280730431525	96.7	97.63
246,0.0038461538461538464	0.33447276119581304	96.7	97.45
247,0.004487179487179487	0.38688431584893074	96.5	96.65
248,0.005128205128205128	0.40116646270299416	96.5	96.51
249,0.0057692307692307696	0.4027791176340766	96.5	96.51
250,0.00641025641025641	0.4223885374209919	96.5	96.51
251,0.007051282051282051	0.5465367289185955	94.5	94.83
252,0.007692307692307693	0.6143857206243579	93.65	93.85
253,0.008333333333333333	0.6834199964665859	92.75	92.89
254,0.008974358974358974	0.7226497807878123	92.35	92.54
255,0.009615384615384616	0.7306449281611167	91.92	92.14
256,0.010256410256410256	0.7828143562523334	91.26	91.67
257,0.010897435897435897	0.7263474531793239	91.51	91.9
258,0.011538461538461539	0.7047495490422316	92.1	92.57
259,0.01217948717948718	0.6938256712693257	92.01	92.26
260,0.01282051282051282	0.645979062505067	92.5	92.79
261,0.013461538461538462	0.7634063499310533	91.19	91.47
262,0.014102564102564103	0.7609258455241895	91.01	91.14
263,0.014743589743589743	0.7143027415777241	91.41	91.81
264,0.015384615384615385	0.6401130143058427	92.06	92.52
265,0.016025641025641024	0.6579805939655502	92.13	92.26
266,0.016666666666666666	0.5861145314737592	92.85	93.44
267,0.01730769230769231	0.5925800701391684	93.05	93.17
268,0.017948717948717947	0.5816577900641839	92.95	93.17
269,0.01858974358974359	0.56756989062906	93.03	93.5
270,0.019230769230769232	0.5709943760758646	93.23	93.49
271,0.01987179487179487	0.5511827968490712	93.32	93.58
272,0.020512820512820513	0.6690177546152511	92.01	92.39
273,0.021153846153846155	0.6781913697069751	91.87	92.2
274,0.021794871794871794	0.7072307961169291	91.48	91.49
275,0.022435897435897436	0.7356738020335298	91.11	91.35
276,0.023076923076923078	0.6829964198122472	91.45	91.74
277,0.023717948717948717	0.6509919948107833	91.72	92.19
278,0.02435897435897436	0.6507847603129434	91.72	92.19
279,0.025	0.6782349492750214	91.75	91.76
280,0.02564102564102564	0.7171783085578733	91.16	91.25
281,0.026282051282051282	0.7025533553320961	91.36	91.62
282,0.026923076923076925	0.700474903222303	91.38	91.51
283,0.027564102564102563	0.6825435165815157	91.44	91.62
284,0.028205128205128206	0.6472454221958726	91.7	91.98
285,0.028846153846153848	0.683093847585823	91.22	91.56
286,0.029487179487179487	0.7197208198863376	91.0	91.01
287,0.03012820512820513	0.7570988552542627	90.5	90.51
288,0.03076923076923077	0.740118062576357	90.59	90.66
289,0.03141025641025641	0.7133032267984954	90.57	90.98
290,0.03205128205128205	0.7484943396862053	90.28	90.6
291,0.032692307692307694	0.7323775349832111	90.56	90.71
292,0.03333333333333333	0.6504935542328604	91.6	91.78
293,0.03397435897435897	0.6671637603556787	91.38	91.72
294,0.03461538461538462	0.7038952127315133	91.0	91.14
295,0.035256410256410256	0.6929180727904505	90.82	91.12
296,0.035897435897435895	0.6594241088118754	91.16	91.59
297,0.03653846153846154	0.6850862091270452	91.0	91.36
298,0.03717948717948718	0.7045252355493576	90.85	91.24
299,0.03782051282051282	0.6812407934866193	91.1	91.24
300,0.038461538461538464	0.662763395686673	91.24	91.65
301,0.0391025641025641	0.7069200277046442	90.81	91.09
302,0.03974358974358974	0.6659120483623711	91.15	91.4
303,0.04038461538461539	0.6634343211401657	91.35	91.5
304,0.041025641025641026	0.6691161499543593	91.24	91.4
305,0.041666666666666664	0.6933904831362703	91.01	91.33
306,0.04230769230769231	0.7033612805291352	90.86	90.87
307,0.04294871794871795	0.6955939482755377	90.9	91.0
308,0.04358974358974359	0.6868997384647598	91.0	91.1
309,0.04423076923076923	0.6645304617479216	91.02	91.63
310,0.04487179487179487	0.6463817528084539	91.02	91.56
311,0.04551282051282051	0.6485336873429919	91.08	91.52
312,0.046153846153846156	0.6648204122607688	91.17	91.36
313,0.046794871794871795	0.6276415504963443	91.54	91.85
314,0.047435897435897434	0.6329446839670543	91.43	91.85
315,0.04807692307692308	0.6760315590863901	91.02	91.32
316,0.04871794871794872	0.6787102399888186	90.87	91.08
317,0.04935897435897436	0.6873566436853467	90.88	91.06
318,0.05	0.649396363476192	91.31	91.56
319,0.05064102564102564	0.6831268594329106	90.87	91.05
320,0.05128205128205128	0.6889651869299473	90.87	91.01
321,0.051923076923076926	0.7272320589944278	90.2	90.5
322,0.052564102564102565	0.6907503754263835	90.62	90.84
323,0.0532051282051282	0.6666232004919777	90.94	91.32
324,0.05384615384615385	0.5615374519890037	92.45	92.79
325,0.05448717948717949	0.5916014605278443	92.05	92.16
326,0.05512820512820513	0.6063313872789208	91.67	92.06
327,0.05576923076923077	0.6117406232536866	91.6	91.96
328,0.05641025641025641	0.6018860322731034	91.66	92.0
329,0.05705128205128205	0.6259980325997659	91.6	91.92
330,0.057692307692307696	0.6340431793891158	91.5	91.56
331,0.058333333333333334	0.6102900695052509	91.79	92.12
332,0.05897435897435897	0.5903408993037281	91.97	92.1
